Seq.   (i);Núm.;Candidato;Partido/Coligação;Votação;% Válidos
*0001;23123;FABRÍCIO GANDINI;PPS - PPS / PROS;7.611;4,21 %
*0002;23444;DENNINHO;PPS - PPS / PROS;6.167;3,41 %
*0003;40000;DAVI ESMAEL;PSB - PSB / PHS;5.165;2,85 %
*0004;23023;VINICIUS SIMÕES;PPS - PPS / PROS;4.403;2,43 %
*0005;45612;NEUZINHA;PSDB - PSC / PSDB;3.652;2,02 %
*0006;23000;LEONIL;PPS - PPS / PROS;3.577;1,98 %
*0007;40222;NATHAN MEDEIROS;PSB - PSB / PHS;3.316;1,83 %
*0008;55222;MAZINHO;PSD - SD / PMB / PSD / PRTB / PTC;3.090;1,71 %
*0009;14333;DALTO NEVES;PTB;3.083;1,70 %
*0010;12123;MAX DA MATA;PDT;2.339;1,29 %
*0011;20000;WANDERSON MARINHO;PSC - PSC / PSDB;2.208;1,22 %
*0012;12345;SANDRO PARRINI;PDT;2.024;1,12 %
*0013;43111;LUIZ PAULO AMORIM;PV - PP / PV / REDE;1.696;0,94 %
*0014;14222;ROBERTO MARTINS;PTB;1.547;0,86 %
*0015;11444;CLEBER FELIX (CLEBINHO);PP - PP / PV / REDE;1.524;0,84 %
0016;23222;LUIZ EMANUEL;PPS - PPS / PROS;3.138;1,73 %
0017;31444;ROGERINHO PINHEIRO;PHS - PSB / PHS;2.961;1,64 %
0018;77222;LUISINHO;SD - SD / PMB / PSD / PRTB / PTC;2.693;1,49 %
0019;23333;WAGUINHO ITO;PPS - PPS / PROS;2.087;1,15 %
0020;45000;ALOISIO VAREJAO;PSDB - PSC / PSDB;1.878;1,04 %
#0241;27256;SAUL PEREIRA;PSDC - PRB / PEN / PPL / PSDC / PC do B;0;0,00 %
#0242;12025;ZILMARIA;PDT;0;0,00 %
#0243;13680;GESSIMARA;PT;0;0,00 %
#0244;13789;MARA MATTOS;PT;0;0,00 %
#0245;23111;EDINHO BLANCHER;PPS - PPS / PROS;0;0,00 %
#0246;43210;JÉSSICA POLESE;PV - PP / PV / REDE;0;0,00 %
#0247;50000;EDMAR SANTOS;PSOL;0;0,00 %
